07/05-11:42:57.616982, 2958, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-11:43:02.897262, 9719, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-11:46:33.819743, 274834, UDP, raw, 85, C2S, 192.168.10.5:59365, 192.168.10.3:53, 301:1:1, allow
07/05-11:47:10.225440, 425638, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/05-11:47:27.488931, 503573, UDP, raw, 85, C2S, 192.168.10.9:60558, 192.168.10.3:53, 301:1:1, allow
07/05-11:47:28.527721, 508578, UDP, raw, 85, C2S, 192.168.10.9:62850, 192.168.10.3:53, 301:1:1, allow
07/05-11:47:28.528142, 508588, UDP, raw, 85, C2S, 192.168.10.9:56648, 192.168.10.3:53, 301:1:1, allow
07/05-11:49:01.632418, 886996, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-11:49:06.631555, 907327, UDP, raw, 85, C2S, 192.168.10.15:58715, 192.168.10.3:53, 301:1:1, allow
07/05-11:49:06.925068, 908715, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-11:54:18.238862, 2165148, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/05-11:56:08.704303, 2648580, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-11:56:14.930325, 2675901, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-12:01:26.254343, 3929988, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/05-12:03:15.750341, 4386026, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-12:03:22.942824, 4414164, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-12:03:26.346735, 4431218, UDP, raw, 86, C2S, 192.168.10.12:50493, 192.168.10.3:53, 301:1:1, allow
07/05-12:03:26.346737, 4431220, UDP, raw, 86, C2S, 192.168.10.12:49805, 192.168.10.3:53, 301:1:1, allow
07/05-12:03:26.351229, 4431267, UDP, raw, 85, C2S, 192.168.10.12:27363, 192.168.10.3:53, 301:1:1, allow
07/05-12:03:26.351231, 4431269, UDP, raw, 85, C2S, 192.168.10.12:56216, 192.168.10.3:53, 301:1:1, allow
07/05-12:10:22.769987, 5168515, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-12:10:30.956809, 5169163, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-12:13:47.288927, 5557753, UDP, raw, 85, C2S, 192.168.10.5:52014, 192.168.10.3:53, 301:1:1, allow
07/05-12:13:47.289939, 5557761, UDP, raw, 85, C2S, 192.168.10.5:50208, 192.168.10.3:53, 301:1:1, allow
07/05-12:13:49.513227, 5559224, UDP, raw, 86, C2S, 192.168.10.5:63286, 192.168.10.3:53, 301:1:1, allow
07/05-12:15:42.352170, 5593220, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/05-12:17:29.834871, 5621057, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-12:17:38.973501, 5621431, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-12:22:50.395734, 5658214, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/05-12:23:25.630501, 5665844, TCP, raw, 60, C2S, 192.168.10.16:44152, 192.168.10.50:22, 301:1:1, allow
07/05-12:23:27.013282, 5666739, TCP, raw, 60, C2S, 192.168.10.16:44154, 192.168.10.50:22, 301:1:1, allow
07/05-12:23:31.366139, 5671526, UDP, raw, 86, C2S, 192.168.10.14:58057, 192.168.10.3:53, 301:1:1, allow
07/05-12:23:31.488286, 5671656, UDP, raw, 86, C2S, 192.168.10.14:49866, 192.168.10.3:53, 301:1:1, allow
07/05-12:24:36.898479, 5699529, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-12:24:46.987509, 5700255, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-12:27:01.149107, 5713160, TCP, raw, 60, C2S, 192.168.10.19:33446, 192.168.10.50:21, 301:1:1, allow
07/05-12:27:01.272162, 5713192, TCP, raw, 60, C2S, 192.168.10.19:59001, 192.168.10.50:62012, 301:1:1, allow
07/05-12:29:57.399710, 5735522, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/05-12:30:25.581529, 5757468, UDP, raw, 85, C2S, 192.168.10.8:57779, 192.168.10.3:53, 301:1:1, allow
07/05-12:30:25.581902, 5757472, UDP, raw, 85, C2S, 192.168.10.8:50535, 192.168.10.3:53, 301:1:1, allow
07/05-12:31:43.964303, 5777404, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-12:31:54.997621, 5778379, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-12:37:04.407198, 5823823, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/05-12:38:50.969885, 5838243, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-12:39:03.002909, 5839807, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-12:41:24.888793, 5875013, UDP, raw, 85, C2S, 192.168.10.9:58488, 192.168.10.3:53, 301:1:1, allow
07/05-12:41:24.890358, 5875020, UDP, raw, 85, C2S, 192.168.10.9:50332, 192.168.10.3:53, 301:1:1, allow
07/05-12:41:24.929397, 5875055, UDP, raw, 85, C2S, 192.168.10.9:65124, 192.168.10.3:53, 301:1:1, allow
07/05-12:41:24.930299, 5875060, UDP, raw, 85, C2S, 192.168.10.9:65259, 192.168.10.3:53, 301:1:1, allow
07/05-12:41:25.891003, 5875771, UDP, raw, 85, C2S, 192.168.10.9:62194, 192.168.10.3:53, 301:1:1, allow
07/05-12:41:25.892050, 5875775, UDP, raw, 85, C2S, 192.168.10.9:58985, 192.168.10.3:53, 301:1:1, allow
07/05-12:41:52.159359, 5876768, UDP, raw, 86, C2S, 192.168.10.9:62775, 192.168.10.3:53, 301:1:1, allow
07/05-12:41:52.221285, 5876781, UDP, raw, 86, C2S, 192.168.10.9:52850, 192.168.10.3:53, 301:1:1, allow
