07/03-12:03:02.121631, 26098, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-12:10:09.171397, 93284, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-12:17:17.218057, 953002, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-12:18:00.262764, 1149296, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-12:21:08.460627, 1989443, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-12:24:25.290767, 2190625, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-12:25:07.341528, 2215133, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-12:28:21.719060, 2376399, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-12:31:32.333873, 2694066, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-12:32:14.419627, 2701072, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-12:33:08.330933, 2721711, UDP, raw, 86, C2S, 192.168.10.25:54009, 192.168.10.3:53, 301:1:1, allow
07/03-12:35:29.737130, 3360697, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-12:38:40.345709, 4191256, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-12:39:21.487921, 4373992, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-12:42:37.752908, 5208306, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-12:45:48.345141, 5358700, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-12:46:28.547395, 5381348, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-12:47:38.493918, 5403702, TCP, raw, 60, C2S, 192.168.10.50:50678, 192.168.10.3:88, 301:1:1, allow
07/03-12:47:38.495215, 5403740, TCP, raw, 60, C2S, 192.168.10.50:50680, 192.168.10.3:88, 301:1:1, allow
07/03-12:47:38.518224, 5403953, TCP, raw, 60, C2S, 192.168.10.50:50684, 192.168.10.3:88, 301:1:1, allow
07/03-12:49:45.151146, 5720190, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-12:52:55.358821, 5947574, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-12:53:35.615089, 5964678, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-12:56:52.161973, 6009784, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:00:02.428923, 6066887, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:00:42.664929, 6075222, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:01:03.014210, 6084919, UDP, raw, 85, C2S, 192.168.10.8:61314, 192.168.10.3:53, 301:1:1, allow
07/03-13:01:04.650849, 6085598, UDP, raw, 85, C2S, 192.168.10.8:61535, 192.168.10.3:53, 301:1:1, allow
07/03-13:01:05.089631, 6085940, UDP, raw, 85, C2S, 192.168.10.8:55423, 192.168.10.3:53, 301:1:1, allow
07/03-13:01:05.206519, 6086159, UDP, raw, 85, C2S, 192.168.10.8:53117, 192.168.10.3:53, 301:1:1, allow
07/03-13:04:00.177739, 6171813, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:07:09.527577, 6225394, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
