07/07-12:02:14.831049, 10335, TCP, raw, 455, C2S, 192.168.10.50:56108, 192.168.10.3:3268, 306:1:0, allow
07/07-12:06:21.614803, 68953, TCP, raw, 52, C2S, 192.168.10.5:49277, 54.187.98.195:443, 306:1:0, allow
07/07-12:10:53.632854, 199360, TCP, raw, 40, C2S, 192.168.10.15:49606, 62.168.44.118:80, 301:1:1, allow
07/07-12:13:56.992984, 310523, TCP, raw, 52, C2S, 192.168.10.25:49217, 8.247.96.128:80, 301:1:1, allow
07/07-12:13:58.401887, 311259, TCP, raw, 52, C2S, 192.168.10.25:49229, 8.247.84.128:80, 301:1:1, allow
07/07-12:13:58.403079, 311276, TCP, raw, 52, C2S, 192.168.10.25:49230, 8.247.84.128:80, 301:1:1, allow
07/07-12:21:58.527764, 1627604, TCP, raw, 40, C2S, 192.168.10.14:49878, 23.61.187.27:80, 301:1:1, allow
07/07-12:25:20.119804, 2471967, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.16:51974, 301:1:1, allow
07/07-12:25:21.624388, 2480046, TCP, raw, 1500, S2C, 151.101.116.175:80, 192.168.10.16:57698, 301:1:1, allow
07/07-12:25:22.407656, 2483538, TCP, raw, 1500, S2C, 52.84.26.15:80, 192.168.10.16:50872, 301:1:1, allow
07/07-12:25:25.115994, 2496987, TCP, raw, 1500, S2C, 69.172.216.55:80, 192.168.10.16:49980, 301:1:1, allow
07/07-12:25:28.757884, 2514949, TCP, raw, 1500, S2C, 52.84.28.140:80, 192.168.10.16:51890, 301:2:1, allow
07/07-12:26:10.419900, 2679295, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:49569, 301:1:1, allow
07/07-12:28:18.507127, 2953391, TCP, raw, 60, C2S, 192.168.10.12:42678, 202.248.252.160:443, 306:1:0, allow
07/07-12:29:26.277925, 2960488, TCP, raw, 40, S2C, 72.5.205.48:443, 192.168.10.9:1203, 301:1:1, allow
07/07-12:34:12.086809, 3025880, TCP, raw, 1500, S2C, 52.84.145.96:80, 192.168.10.12:45554, 301:1:1, allow
07/07-12:34:12.738496, 3026184, TCP, raw, 1500, S2C, 52.84.143.45:80, 192.168.10.12:35640, 301:1:1, allow
07/07-12:34:12.739261, 3026200, TCP, raw, 1500, S2C, 52.84.143.132:80, 192.168.10.12:55014, 301:1:1, allow
07/07-12:34:12.739526, 3026204, TCP, raw, 1500, S2C, 52.84.143.148:80, 192.168.10.12:53346, 301:1:1, allow
07/07-12:34:12.740790, 3026224, TCP, raw, 1500, S2C, 52.84.143.12:80, 192.168.10.12:48832, 301:1:1, allow
07/07-12:34:12.743253, 3026261, TCP, raw, 1500, S2C, 52.84.143.12:80, 192.168.10.12:48840, 301:1:1, allow
07/07-12:34:12.744307, 3026282, TCP, raw, 52, C2S, 192.168.10.12:55024, 52.84.143.132:80, 301:1:1, allow
07/07-12:34:12.744997, 3026291, TCP, raw, 1500, S2C, 52.84.143.148:80, 192.168.10.12:53344, 301:1:1, allow
07/07-12:34:13.011798, 3026573, TCP, raw, 1500, S2C, 52.84.145.245:80, 192.168.10.12:39078, 301:1:1, allow
07/07-12:39:23.720935, 3503843, TCP, raw, 60, C2S, 192.168.10.17:44547, 185.49.84.172:443, 306:1:0, allow
07/07-12:40:41.617382, 3515956, TCP, raw, 52, C2S, 192.168.10.25:49753, 208.91.114.47:80, 301:1:1, allow
07/07-12:40:41.956600, 3516059, TCP, raw, 52, C2S, 192.168.10.25:49754, 208.91.114.47:80, 301:1:1, allow
07/07-12:40:42.380965, 3516199, TCP, raw, 52, C2S, 192.168.10.25:49765, 208.91.114.47:80, 301:1:1, allow
07/07-12:40:42.887386, 3516386, TCP, raw, 52, C2S, 192.168.10.25:49776, 208.91.114.47:80, 301:1:1, allow
07/07-12:40:42.955158, 3516395, TCP, raw, 52, C2S, 192.168.10.25:49777, 208.91.114.47:80, 301:1:1, allow
07/07-12:40:43.485294, 3516500, TCP, raw, 52, C2S, 192.168.10.25:49783, 208.91.114.47:80, 301:1:1, allow
07/07-12:40:43.565735, 3516519, TCP, raw, 52, C2S, 192.168.10.25:49784, 208.91.114.47:80, 301:1:1, allow
07/07-12:42:28.554621, 3555292, TCP, raw, 166, C2S, 192.168.10.15:50395, 52.84.145.206:443, 301:2:1, allow
07/07-12:46:04.865027, 3605470, TCP, raw, 52, C2S, 192.168.10.25:49955, 23.194.181.198:80, 301:1:1, allow
