07/06-12:07:57.635832, 95564, TCP, raw, 40, C2S, 192.168.10.15:49541, 23.192.74.53:80, 301:1:1, allow
07/06-12:07:57.959340, 95726, TCP, raw, 40, C2S, 192.168.10.15:49550, 23.15.4.16:80, 301:1:1, allow
07/06-12:07:58.004424, 95858, TCP, raw, 40, C2S, 192.168.10.15:49557, 23.15.4.17:80, 301:1:1, allow
07/06-12:08:08.769116, 104622, TCP, raw, 52, C2S, 192.168.10.17:58938, 74.119.119.78:80, 301:2:1, allow
07/06-12:08:09.207042, 104980, TCP, raw, 52, S2C, 74.119.119.78:80, 192.168.10.17:58928, 301:2:1, allow
07/06-12:08:09.345859, 105149, TCP, raw, 52, C2S, 192.168.10.17:58937, 74.119.119.78:80, 301:2:1, allow
07/06-12:08:10.878059, 107610, TCP, raw, 52, S2C, 74.119.119.78:80, 192.168.10.17:58924, 301:1:1, allow
07/06-12:08:11.075131, 107984, TCP, raw, 527, C2S, 192.168.10.17:58926, 74.119.119.78:80, 301:1:1, allow
07/06-12:08:11.075131, 107985, TCP, raw, 495, C2S, 192.168.10.17:58927, 74.119.119.78:80, 301:1:1, allow
07/06-12:08:18.943140, 115421, TCP, raw, 52, C2S, 192.168.10.17:58925, 74.119.119.78:80, 301:1:1, allow
07/06-12:08:19.159130, 115559, TCP, raw, 52, C2S, 192.168.10.17:58935, 74.119.119.78:80, 301:1:1, allow
07/06-12:08:22.840607, 116448, TCP, raw, 495, C2S, 192.168.10.17:58936, 74.119.119.78:80, 301:1:1, allow
07/06-12:08:40.299219, 118144, TCP, raw, 52, C2S, 192.168.10.17:47753, 74.119.119.70:80, 301:1:1, allow
07/06-12:08:40.299470, 118146, TCP, raw, 52, C2S, 192.168.10.17:47754, 74.119.119.70:80, 301:1:1, allow
07/06-12:08:40.555282, 118187, TCP, raw, 52, C2S, 192.168.10.17:47760, 74.119.119.70:80, 301:1:1, allow
07/06-12:10:23.958857, 223287, TCP, raw, 40, C2S, 192.168.10.8:49231, 23.4.43.27:80, 301:1:1, allow
07/06-12:10:24.864532, 225082, TCP, raw, 40, C2S, 192.168.10.8:49232, 23.4.43.27:80, 301:1:1, allow
07/06-12:10:33.776418, 265241, TCP, raw, 241, C2S, 192.168.10.14:59204, 121.242.123.135:443, 301:1:1, allow
07/06-12:11:16.130178, 447228, TCP, raw, 241, C2S, 192.168.10.14:59205, 121.242.123.135:443, 301:1:1, allow
07/06-12:11:36.356859, 535135, TCP, raw, 241, C2S, 192.168.10.14:59206, 121.242.123.135:443, 301:1:1, allow
07/06-12:11:56.768283, 632872, TCP, raw, 41, C2S, 192.168.10.14:59207, 121.242.123.135:443, 301:1:1, allow
07/06-12:11:57.065136, 635093, TCP, raw, 41, C2S, 192.168.10.14:59208, 121.242.123.135:443, 301:1:1, allow
07/06-12:12:17.385059, 723970, TCP, raw, 41, C2S, 192.168.10.14:59209, 121.242.123.135:443, 301:1:1, allow
07/06-12:12:37.639187, 793822, TCP, raw, 41, C2S, 192.168.10.14:59210, 121.242.123.135:443, 301:1:1, allow
07/06-12:12:57.878647, 874324, TCP, raw, 41, C2S, 192.168.10.14:59212, 121.242.123.135:443, 301:1:1, allow
07/06-12:13:18.220569, 962466, TCP, raw, 41, C2S, 192.168.10.14:59213, 121.242.123.135:443, 301:1:1, allow
07/06-12:13:18.502132, 963721, TCP, raw, 41, C2S, 192.168.10.14:59214, 121.242.123.135:443, 301:1:1, allow
07/06-12:13:38.598488, 1050525, TCP, raw, 241, C2S, 192.168.10.14:59215, 121.242.123.135:443, 301:1:1, allow
07/06-12:13:58.829695, 1135146, TCP, raw, 241, C2S, 192.168.10.14:59216, 121.242.123.135:443, 301:1:1, allow
07/06-12:14:57.183349, 1377420, TCP, raw, 166, C2S, 192.168.10.14:59327, 74.217.253.70:443, 301:1:1, allow
07/06-12:21:58.602249, 2834778, TCP, raw, 202, C2S, 192.168.10.51:52162, 23.111.11.222:443, 301:1:1, allow
07/06-12:25:14.044721, 2872804, TCP, raw, 1500, S2C, 23.194.141.30:80, 192.168.10.17:45261, 301:1:1, allow
07/06-12:28:23.976906, 2891417, TCP, raw, 40, C2S, 192.168.10.14:59580, 104.16.105.123:80, 301:1:1, allow
07/06-12:30:00.188083, 2924091, TCP, raw, 1481, S2C, 54.192.48.61:80, 192.168.10.9:1366, 301:2:1, allow
07/06-12:30:16.193773, 2935107, TCP, raw, 52, S2C, 169.55.70.195:80, 192.168.10.19:58983, 301:2:1, allow
07/06-12:30:47.786003, 2938125, TCP, raw, 200, C2S, 192.168.10.51:49314, 162.213.33.50:443, 301:1:1, allow
07/06-12:37:38.816560, 3022112, TCP, raw, 1500, S2C, 151.101.20.200:80, 192.168.10.19:41749, 301:1:1, allow
07/06-12:37:39.447755, 3022362, TCP, raw, 1500, S2C, 34.196.100.183:80, 192.168.10.19:42403, 301:1:1, allow
07/06-12:37:40.526247, 3023117, TCP, raw, 1500, S2C, 52.84.8.226:80, 192.168.10.19:53370, 301:1:1, allow
07/06-12:37:41.708523, 3024418, TCP, raw, 1500, S2C, 151.101.0.249:80, 192.168.10.19:57231, 301:1:1, allow
07/06-12:37:41.803285, 3024782, TCP, raw, 1500, S2C, 54.192.48.50:80, 192.168.10.19:45311, 301:1:1, allow
07/06-12:37:42.980869, 3025814, TCP, raw, 1500, S2C, 52.84.26.63:80, 192.168.10.19:52052, 301:1:1, allow
07/06-12:39:28.300877, 3057715, TCP, raw, 166, C2S, 192.168.10.15:52164, 34.207.1.48:443, 301:1:1, allow
