07/03-12:06:51.613437, 63092, TCP, raw, 1500, S2C, 23.208.104.19:80, 192.168.10.16:36602, 301:1:1, allow
07/03-12:07:01.793775, 71612, TCP, raw, 166, C2S, 192.168.10.14:49856, 34.197.66.126:443, 301:1:1, allow
07/03-12:14:14.785738, 205224, TCP, raw, 40, C2S, 192.168.10.5:49341, 31.13.71.36:443, 301:1:1, allow
07/03-12:15:30.423754, 491988, TCP, raw, 166, C2S, 192.168.10.14:50251, 162.208.22.39:443, 301:1:1, allow
07/03-12:19:40.014971, 1584424, TCP, raw, 1500, S2C, 52.60.158.149:80, 192.168.10.51:38599, 301:1:1, allow
07/03-12:19:41.010123, 1588927, TCP, raw, 1500, S2C, 52.84.145.216:80, 192.168.10.51:47267, 301:1:1, allow
07/03-12:19:41.011116, 1588934, TCP, raw, 1500, S2C, 204.79.197.200:80, 192.168.10.51:35022, 301:1:1, allow
07/03-12:20:06.870233, 1708842, TCP, raw, 40, C2S, 192.168.10.16:37952, 104.27.144.213:80, 301:1:1, allow
07/03-12:24:08.870614, 2176198, TCP, raw, 58, C2S, 192.168.10.25:49323, 195.161.34.114:443, 301:1:1, allow
07/03-12:28:28.877993, 2426761, TCP, raw, 1061, C2S, 192.168.10.5:49605, 69.172.216.111:443, 301:2:1, allow
07/03-12:28:56.348346, 2590841, TCP, raw, 166, C2S, 192.168.10.5:49835, 52.84.145.174:443, 301:1:1, allow
07/03-12:30:19.759812, 2633761, TCP, raw, 166, C2S, 192.168.10.5:50112, 94.31.29.250:443, 301:1:1, allow
07/03-12:33:01.651830, 2705760, TCP, raw, 52, C2S, 192.168.10.25:49345, 23.207.194.221:80, 301:1:1, allow
07/03-12:33:04.579402, 2710791, TCP, raw, 52, C2S, 192.168.10.25:49409, 54.192.36.4:80, 301:1:1, allow
07/03-12:33:08.013048, 2719963, TCP, raw, 52, S2C, 104.97.120.69:80, 192.168.10.25:49495, 301:2:1, allow
07/03-12:33:10.214849, 2732054, TCP, raw, 52, C2S, 192.168.10.25:49533, 208.185.118.89:80, 301:2:1, allow
07/03-12:34:06.618471, 2990733, TCP, raw, 1500, S2C, 23.15.4.9:80, 192.168.10.12:38366, 301:1:1, allow
07/03-12:34:06.821949, 2992164, TCP, raw, 1500, S2C, 23.15.4.9:80, 192.168.10.12:38378, 301:2:1, allow
07/03-12:38:02.196054, 4018011, TCP, raw, 200, C2S, 192.168.10.51:36190, 162.213.33.44:443, 301:1:1, allow
07/03-12:41:23.370513, 4899959, TCP, raw, 190, C2S, 192.168.10.15:49958, 52.94.237.66:443, 301:1:1, allow
07/03-12:41:23.375992, 4899965, TCP, raw, 190, C2S, 192.168.10.15:49957, 52.94.237.66:443, 301:1:1, allow
07/03-12:42:38.471006, 5212119, TCP, raw, 1500, S2C, 72.21.91.125:80, 192.168.10.16:58256, 301:1:1, allow
07/03-12:42:38.570075, 5212874, TCP, raw, 1500, S2C, 52.84.142.241:80, 192.168.10.16:42896, 301:1:1, allow
07/03-12:42:38.967028, 5216140, TCP, raw, 40, C2S, 192.168.10.5:51805, 23.194.181.198:443, 301:1:1, allow
07/03-12:42:41.758697, 5229401, TCP, raw, 125, C2S, 192.168.10.5:51814, 104.16.3.9:443, 301:1:1, allow
07/03-12:43:04.373299, 5289331, TCP, raw, 52, C2S, 192.168.10.25:49688, 23.194.182.2:80, 301:1:1, allow
07/03-12:43:05.938134, 5290150, TCP, raw, 52, C2S, 192.168.10.25:49710, 151.101.2.2:80, 301:1:1, allow
07/03-12:43:07.454332, 5291100, TCP, raw, 52, C2S, 192.168.10.25:49735, 23.15.4.8:80, 301:1:1, allow
07/03-12:43:11.083704, 5296079, TCP, raw, 52, C2S, 192.168.10.25:49789, 23.99.206.151:80, 301:1:1, allow
07/03-12:45:39.905121, 5341658, TCP, raw, 40, C2S, 192.168.10.9:62693, 104.17.54.121:80, 301:1:1, allow
07/03-12:49:10.811967, 5508893, TCP, raw, 40, S2C, 52.206.210.166:80, 192.168.10.9:63754, 301:1:1, allow
