07/04-12:01:53.174283, 48313, TCP, raw, 166, C2S, 192.168.10.9:1461, 54.210.27.11:443, 301:2:1, allow
07/04-12:01:53.178975, 48314, TCP, raw, 166, C2S, 192.168.10.9:1460, 54.210.27.11:443, 301:2:1, allow
07/04-12:06:24.138118, 85168, TCP, raw, 200, C2S, 192.168.10.51:35940, 162.213.33.50:443, 301:1:1, allow
07/04-12:06:24.138124, 85169, TCP, raw, 200, C2S, 192.168.10.51:35941, 162.213.33.50:443, 301:1:1, allow
07/04-12:11:47.532954, 280809, TCP, raw, 701, C2S, 192.168.10.9:1710, 172.104.46.66:443, 301:1:1, allow
07/04-12:15:42.825734, 357601, TCP, raw, 60, C2S, 192.168.10.51:34413, 185.170.48.239:43498, 302:1:0, allow
07/04-12:15:45.065166, 360638, TCP, raw, 40, C2S, 192.168.10.8:49457, 46.229.145.50:80, 301:2:1, allow
07/04-12:15:53.093904, 366988, TCP, raw, 166, C2S, 192.168.10.8:49711, 52.84.145.26:443, 301:2:1, allow
07/04-12:15:53.107255, 366998, TCP, raw, 166, C2S, 192.168.10.8:49713, 52.84.145.26:443, 301:2:1, allow
07/04-12:18:31.887195, 468896, TCP, raw, 1500, S2C, 52.84.145.166:80, 192.168.10.16:33640, 301:1:1, allow
07/04-12:18:32.528686, 469211, TCP, raw, 1500, S2C, 93.184.216.180:80, 192.168.10.16:41804, 301:1:1, allow
07/04-12:18:33.746479, 470022, TCP, raw, 1500, S2C, 184.84.243.215:80, 192.168.10.51:35335, 301:1:1, allow
07/04-12:18:33.754394, 470061, TCP, raw, 1500, S2C, 184.84.243.215:80, 192.168.10.51:35338, 301:1:1, allow
07/04-12:18:33.910812, 470381, TCP, raw, 1500, S2C, 184.84.243.215:80, 192.168.10.51:35340, 301:1:1, allow
07/04-12:18:35.679052, 473222, TCP, raw, 1500, S2C, 52.84.59.171:80, 192.168.10.51:59397, 301:1:1, allow
07/04-12:18:38.101208, 477498, TCP, raw, 1500, S2C, 23.202.234.126:80, 192.168.10.16:59776, 301:1:1, allow
07/04-12:18:41.086479, 479777, TCP, raw, 1500, S2C, 52.84.145.90:80, 192.168.10.51:38521, 301:1:1, allow
07/04-12:18:44.572128, 482488, TCP, raw, 52, C2S, 192.168.10.16:54360, 23.217.173.236:80, 301:1:1, allow
07/04-12:20:22.549376, 795543, TCP, raw, 60, C2S, 172.16.0.1:52250, 192.168.10.50:21, 307:1:0, allow
07/04-12:22:47.579654, 1443336, TCP, raw, 52, S2C, 169.55.70.153:80, 192.168.10.16:55550, 301:1:1, allow
07/04-12:30:05.261712, 3975669, TCP, raw, 1500, S2C, 199.96.57.6:80, 192.168.10.19:39733, 301:1:1, allow
07/04-12:30:06.904146, 3984899, TCP, raw, 1500, S2C, 23.15.4.18:80, 192.168.10.19:36553, 301:1:1, allow
07/04-12:30:09.413409, 3993547, TCP, raw, 1500, S2C, 23.15.4.10:80, 192.168.10.19:35505, 301:1:1, allow
07/04-12:30:58.202107, 4166361, TCP, raw, 200, C2S, 192.168.10.51:36756, 162.213.33.50:443, 301:1:1, allow
07/04-12:35:47.823477, 5415621, TCP, raw, 52, S2C, 23.61.187.27:80, 192.168.10.25:49672, 301:1:1, allow
07/04-12:35:54.741649, 5439483, TCP, raw, 52, S2C, 23.61.187.27:80, 192.168.10.25:49766, 301:1:1, allow
07/04-12:37:36.350796, 5602700, TCP, raw, 200, C2S, 192.168.10.51:36964, 162.213.33.50:443, 301:1:1, allow
07/04-12:38:06.490583, 5611160, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.17:45515, 301:1:1, allow
07/04-12:38:07.029841, 5611523, TCP, raw, 1500, S2C, 151.101.193.34:80, 192.168.10.17:50373, 301:1:1, allow
07/04-12:38:07.030616, 5611534, TCP, raw, 1500, S2C, 151.101.193.34:80, 192.168.10.17:50375, 301:1:1, allow
07/04-12:38:07.039544, 5611582, TCP, raw, 1500, S2C, 52.84.142.241:80, 192.168.10.17:55973, 301:1:1, allow
07/04-12:38:07.189396, 5612060, TCP, raw, 1500, S2C, 151.101.129.34:80, 192.168.10.17:46634, 301:1:1, allow
07/04-12:38:07.211817, 5612184, TCP, raw, 1500, S2C, 151.101.129.34:80, 192.168.10.17:46635, 301:1:1, allow
07/04-12:38:16.256944, 5618978, TCP, raw, 1500, S2C, 23.99.206.151:80, 192.168.10.17:45905, 301:2:1, allow
07/04-12:38:20.144207, 5621496, TCP, raw, 1500, S2C, 69.172.216.55:80, 192.168.10.17:43823, 301:2:1, allow
07/04-12:38:20.515463, 5621642, TCP, raw, 1500, S2C, 23.15.4.9:80, 192.168.10.17:57436, 301:2:1, allow
07/04-12:40:48.966706, 5674115, TCP, raw, 40, C2S, 192.168.10.14:50606, 179.43.190.11:80, 301:1:1, allow
07/04-12:43:13.960303, 5716703, TCP, raw, 725, C2S, 192.168.10.5:50190, 68.67.178.197:80, 301:2:1, allow
07/04-12:47:43.670691, 5787886, TCP, raw, 40, S2C, 74.217.63.26:443, 192.168.10.5:51093, 301:1:1, allow
07/04-12:48:04.589358, 5804506, TCP, raw, 1500, S2C, 54.192.36.185:80, 192.168.10.16:60164, 301:1:1, allow
07/04-12:48:04.592405, 5804549, TCP, raw, 1500, S2C, 54.192.36.185:80, 192.168.10.16:60170, 301:1:1, allow
07/04-12:48:04.665716, 5804786, TCP, raw, 1500, S2C, 54.192.36.137:80, 192.168.10.16:59218, 301:1:1, allow
07/04-12:48:04.693207, 5804820, TCP, raw, 1500, S2C, 54.192.36.79:80, 192.168.10.16:58604, 301:2:1, allow
07/04-12:48:04.693703, 5804828, TCP, raw, 1500, S2C, 54.192.36.63:80, 192.168.10.16:49670, 301:2:1, allow
07/04-12:48:04.695595, 5804842, TCP, raw, 1500, S2C, 54.192.36.79:80, 192.168.10.16:58602, 301:2:1, allow
07/04-12:48:04.696103, 5804849, TCP, raw, 1500, S2C, 54.192.36.63:80, 192.168.10.16:49666, 301:2:1, allow
07/04-12:48:04.696912, 5804859, TCP, raw, 1500, S2C, 54.192.36.79:80, 192.168.10.16:58606, 301:2:1, allow
07/04-12:48:04.697635, 5804867, TCP, raw, 1500, S2C, 54.192.36.63:80, 192.168.10.16:49664, 301:2:1, allow
07/04-12:48:04.699608, 5804888, TCP, raw, 1500, S2C, 54.192.36.63:80, 192.168.10.16:49668, 301:2:1, allow
07/04-12:48:05.446472, 5807366, TCP, raw, 1500, S2C, 54.192.36.106:80, 192.168.10.16:54308, 301:2:1, allow
07/04-12:48:05.461846, 5807413, TCP, raw, 1500, S2C, 54.192.36.196:80, 192.168.10.16:47774, 301:2:1, allow
07/04-12:48:05.479049, 5807459, TCP, raw, 1500, S2C, 54.192.36.138:80, 192.168.10.16:37212, 301:2:1, allow
07/04-12:48:05.490562, 5807486, TCP, raw, 1500, S2C, 54.192.36.138:80, 192.168.10.16:37214, 301:2:1, allow
07/04-12:48:05.504380, 5807504, TCP, raw, 1500, S2C, 54.192.36.224:80, 192.168.10.16:41372, 301:2:1, allow
07/04-12:48:05.505626, 5807521, TCP, raw, 1500, S2C, 54.192.36.224:80, 192.168.10.16:41368, 301:2:1, allow
07/04-12:48:05.537624, 5807582, TCP, raw, 1500, S2C, 54.192.36.237:80, 192.168.10.16:35932, 301:2:1, allow
07/04-12:48:05.583125, 5807658, TCP, raw, 1500, S2C, 54.192.36.106:80, 192.168.10.16:54310, 301:2:1, allow
07/04-12:48:05.594310, 5807684, TCP, raw, 1500, S2C, 54.192.36.237:80, 192.168.10.16:35938, 301:2:1, allow
07/04-12:48:05.728477, 5807927, TCP, raw, 1500, S2C, 54.192.36.106:80, 192.168.10.16:54340, 301:2:1, allow
07/04-12:48:05.737172, 5807960, TCP, raw, 1500, S2C, 54.192.36.106:80, 192.168.10.16:54342, 301:2:1, allow
07/04-12:48:06.060639, 5808425, TCP, raw, 1500, S2C, 54.192.37.189:80, 192.168.10.16:45066, 301:2:1, allow
07/04-12:48:07.068524, 5809127, TCP, raw, 1500, S2C, 54.192.37.187:80, 192.168.10.16:52540, 301:2:1, allow
07/04-12:49:41.173962, 5837979, TCP, raw, 1500, S2C, 192.221.118.253:80, 192.168.10.17:43666, 301:1:1, allow
07/04-12:50:35.648776, 5852134, TCP, raw, 60, C2S, 172.16.0.1:56222, 192.168.10.50:21, 307:1:0, allow
07/04-12:58:27.204901, 6453005, TCP, raw, 40, S2C, 169.55.165.137:80, 192.168.10.5:52522, 301:1:1, allow
07/04-13:04:32.329257, 6539081, TCP, raw, 200, C2S, 192.168.10.51:37478, 162.213.33.50:443, 301:1:1, allow
07/04-13:06:02.847753, 6562367, TCP, raw, 52, C2S, 192.168.10.51:37479, 162.213.33.50:443, 301:1:1, allow
07/04-13:06:03.732765, 6562798, TCP, raw, 1500, S2C, 104.88.48.213:80, 192.168.10.19:40901, 301:1:1, allow
